# GASP-derived aerodynamics data converted from GASP_aero_ground.txt
# Incremental Lift and Drag Coeff. for Ground Effects
# Reference Area = 1370. sqft / Flap Deflection = 10 deg (T.O. Setting)

Mach, Angle of Attack (deg),        Hob,   Delta CL,   Delta CD
 0.1,                  14.0,        0.6,    0.02845,   -0.00293
 0.1,                  14.0,        0.8,    0.01282,   -0.00155
 0.1,                  14.0,        1.0,    0.00556,   -0.00092
 0.1,                  14.0,        1.5,      5e-05,   -0.00034
 0.1,                  14.0,        2.0,        0.0,     -8e-05
 0.1,                  14.0,        3.0,        0.0,       -0.0
 0.1,                  16.0,       0.05,    0.22557,   -0.08039
 0.1,                  16.0,        0.1,    0.21633,   -0.05104
 0.1,                  16.0,        0.2,     0.1545,   -0.02419
 0.1,                  16.0,        0.3,    0.10341,   -0.01335
 0.1,                  16.0,        0.4,    0.06892,   -0.00813
 0.1,                  16.0,        0.5,    0.04606,   -0.00532
 0.1,                  16.0,        0.6,    0.03084,   -0.00367
 0.1,                  16.0,        0.8,    0.01371,   -0.00197
 0.1,                  16.0,        1.0,    0.00577,   -0.00118
 0.1,                  16.0,        1.5,        0.0,   -0.00043
 0.1,                  16.0,        2.0,        0.0,    -0.0001
 0.1,                  16.0,        3.0,        0.0,       -0.0
 0.1,                  18.0,       0.05,    0.14509,   -0.10285
 0.1,                  18.0,        0.1,    0.14509,   -0.06982
 0.1,                  18.0,        0.2,    0.14509,   -0.03208
 0.1,                  18.0,        0.3,    0.11071,   -0.01638
 0.1,                  18.0,        0.4,    0.07392,   -0.00999
 0.1,                  18.0,        0.5,    0.04934,   -0.00655
 0.1,                  18.0,        0.6,    0.03292,   -0.00454
 0.1,                  18.0,        0.8,     0.0144,   -0.00246
 0.1,                  18.0,        1.0,    0.00584,   -0.00149
 0.1,                  18.0,        1.5,        0.0,   -0.00051
 0.1,                  18.0,        2.0,        0.0,   -0.00011
 0.1,                  18.0,        3.0,        0.0,       -0.0
 0.2,                  -2.0,       0.05,   -0.02796,   -0.00183
 0.2,                  -2.0,        0.1,   -0.01803,    -0.0014
 0.2,                  -2.0,        0.2,   -0.01052,   -0.00088
 0.2,                  -2.0,        0.3,   -0.00668,   -0.00058
 0.2,                  -2.0,        0.4,   -0.00439,   -0.00039
 0.2,                  -2.0,        0.5,   -0.00296,   -0.00026
 0.2,                  -2.0,        0.6,   -0.00203,   -0.00018
 0.2,                  -2.0,        0.8,   -0.00099,     -9e-05
 0.2,                  -2.0,        1.0,    -0.0005,     -5e-05
 0.2,                  -2.0,        1.5,     -9e-05,     -1e-05
 0.2,                  -2.0,        2.0,     -2e-05,       -0.0
 0.2,                  -2.0,        3.0,        0.0,       -0.0
 0.2,                   0.0,       0.05,    0.03904,   -0.00446
 0.2,                   0.0,        0.1,    0.02574,   -0.00318
 0.2,                   0.0,        0.2,    0.01523,   -0.00181
 0.2,                   0.0,        0.3,    0.00971,   -0.00112
 0.2,                   0.0,        0.4,     0.0064,   -0.00073
 0.2,                   0.0,        0.5,    0.00431,   -0.00049
 0.2,                   0.0,        0.6,    0.00295,   -0.00033
 0.2,                   0.0,        0.8,    0.00142,   -0.00016
 0.2,                   0.0,        1.0,    0.00071,     -8e-05
 0.2,                   0.0,        1.5,    0.00012,     -2e-05
 0.2,                   0.0,        2.0,      1e-05,     -1e-05
 0.2,                   0.0,        3.0,        0.0,       -0.0
 0.2,                   2.0,       0.05,     0.0964,   -0.00821
 0.2,                   2.0,        0.1,    0.06514,   -0.00564
 0.2,                   2.0,        0.2,    0.03918,   -0.00302
 0.2,                   2.0,        0.3,     0.0251,    -0.0018
 0.2,                   2.0,        0.4,    0.01656,   -0.00114
 0.2,                   2.0,        0.5,    0.01114,   -0.00075
 0.2,                   2.0,        0.6,     0.0076,   -0.00051
 0.2,                   2.0,        0.8,    0.00364,   -0.00025
 0.2,                   2.0,        1.0,    0.00179,   -0.00013
 0.2,                   2.0,        1.5,    0.00028,     -3e-05
 0.2,                   2.0,        2.0,      1e-05,     -1e-05
 0.2,                   2.0,        3.0,        0.0,       -0.0
 0.2,                   4.0,       0.05,     0.1441,   -0.01327
 0.2,                   4.0,        0.1,    0.10018,   -0.00888
 0.2,                   4.0,        0.2,    0.06132,   -0.00456
 0.2,                   4.0,        0.3,    0.03947,   -0.00265
 0.2,                   4.0,        0.4,    0.02607,   -0.00165
 0.2,                   4.0,        0.5,    0.01753,   -0.00108
 0.2,                   4.0,        0.6,    0.01194,   -0.00073
 0.2,                   4.0,        0.8,    0.00568,   -0.00037
 0.2,                   4.0,        1.0,    0.00274,    -0.0002
 0.2,                   4.0,        1.5,    0.00039,     -5e-05
 0.2,                   4.0,        2.0,        0.0,     -2e-05
 0.2,                   4.0,        3.0,        0.0,       -0.0
 0.2,                   6.0,       0.05,    0.18216,   -0.01981
 0.2,                   6.0,        0.1,    0.13084,   -0.01303
 0.2,                   6.0,        0.2,    0.08165,    -0.0065
 0.2,                   6.0,        0.3,    0.05285,    -0.0037
 0.2,                   6.0,        0.4,    0.03495,   -0.00228
 0.2,                   6.0,        0.5,    0.02348,   -0.00149
 0.2,                   6.0,        0.6,    0.01595,   -0.00101
 0.2,                   6.0,        0.8,    0.00751,   -0.00051
 0.2,                   6.0,        1.0,    0.00356,   -0.00028
 0.2,                   6.0,        1.5,    0.00043,     -8e-05
 0.2,                   6.0,        2.0,        0.0,     -3e-05
 0.2,                   6.0,        3.0,        0.0,       -0.0
 0.2,                   8.0,       0.05,    0.21057,   -0.02799
 0.2,                   8.0,        0.1,    0.15713,   -0.01818
 0.2,                   8.0,        0.2,    0.10019,   -0.00889
 0.2,                   8.0,        0.3,    0.06521,   -0.00499
 0.2,                   8.0,        0.4,    0.04318,   -0.00305
 0.2,                   8.0,        0.5,    0.02898,   -0.00199
 0.2,                   8.0,        0.6,    0.01964,   -0.00135
 0.2,                   8.0,        0.8,    0.00916,   -0.00069
 0.2,                   8.0,        1.0,    0.00427,   -0.00039
 0.2,                   8.0,        1.5,    0.00042,   -0.00012
 0.2,                   8.0,        2.0,        0.0,     -4e-05
 0.2,                   8.0,        3.0,        0.0,       -0.0
 0.2,                  10.0,       0.05,    0.22933,   -0.03797
