#
#  Clean / Free Air Aerodynamics
#  Reference Area = 1370. sqft
#  Altitude  Mach   ALPHA   CLTOT     CD
#    (ft)     (-)   (deg)    (-)     (-)
#
  9000.0    0.70     4.0  0.5613  0.02785
  9000.0    0.70     6.0  0.7771  0.03894
  9000.0    0.70     8.0  0.9930  0.05362
  9000.0    0.70    10.0  1.2089  0.07202
  9000.0    0.70    12.0  1.4247  0.09510
  9000.0    0.70    14.0  1.6406  0.12406
  9000.0    0.70    16.0  1.8565  0.16010
  9000.0    0.70    16.9  1.9562  0.17948
  9000.0    0.70    16.9  1.9562  0.17948
  9000.0    0.75    -2.0 -0.0896  0.01586
  9000.0    0.75     0.0  0.1343  0.01625
  9000.0    0.75     2.0  0.3582  0.02047
  9000.0    0.75     4.0  0.5822  0.02854
  9000.0    0.75     6.0  0.8061  0.04059
  9000.0    0.75     8.0  1.0300  0.05762
  9000.0    0.75    10.0  1.2539  0.08098
  9000.0    0.75    12.0  1.4778  0.11201
  9000.0    0.75    14.0  1.7017  0.15207
  9000.0    0.75    16.0  1.9256  0.20249
  9000.0    0.75    16.2  1.9488  0.20837
  9000.0    0.75    16.2  1.9488  0.20837
  9000.0    0.80    -2.0 -0.0935  0.01570
  9000.0    0.80     0.0  0.1402  0.01612
  9000.0    0.80     2.0  0.3740  0.02079
  9000.0    0.80     4.0  0.6077  0.03066
  9000.0    0.80     6.0  0.8414  0.04725
  9000.0    0.80     8.0  1.0751  0.07210
  9000.0    0.80    10.0  1.3089  0.10672
  9000.0    0.80    12.0  1.5426  0.15266
  9000.0    0.80    14.0  1.7763  0.21144
  9000.0    0.80    15.4  1.9399  0.26105
  9000.0    0.80    15.4  1.9399  0.26105
  9000.0    0.80    15.4  1.9399  0.26105
  9000.0    0.85    -2.0 -0.0984  0.01557
  9000.0    0.85     0.0  0.1476  0.01671
  9000.0    0.85     2.0  0.3936  0.02483
  9000.0    0.85     4.0  0.6396  0.04171
  9000.0    0.85     6.0  0.8855  0.06914
  9000.0    0.85     8.0  1.1315  0.10890
  9000.0    0.85    10.0  1.3775  0.16277
  9000.0    0.85    12.0  1.6235  0.23254
  9000.0    0.85    14.0  1.8695  0.31999
  9000.0    0.85    14.5  1.9290  0.34400
  9000.0    0.85    14.5  1.9290  0.34400
  9000.0    0.85    14.5  1.9290  0.34400
  9000.0    0.90    -2.0 -0.1047  0.01751
  9000.0    0.90     0.0  0.1571  0.02379
  9000.0    0.90     2.0  0.4188  0.04130
  9000.0    0.90     4.0  0.6806  0.07220
  9000.0    0.90     6.0  0.9424  0.11862
  9000.0    0.90     8.0  1.2041  0.18273
  9000.0    0.90    10.0  1.4659  0.26667
  9000.0    0.90    12.0  1.7277  0.37258
  9000.0    0.90    13.4  1.9152  0.46320
  9000.0    0.90    13.4  1.9152  0.46320
  9000.0    0.90    13.4  1.9152  0.46320
  9000.0    0.90    13.4  1.9152  0.46320
 12000.0    0.00    -2.0 -0.0715  0.00363
 12000.0    0.00     0.0  0.1072  0.00384
 12000.0    0.00     2.0  0.2860  0.00621
 12000.0    0.00     4.0  0.4647  0.01072
 12000.0    0.00     6.0  0.6434  0.01737
 12000.0    0.00     8.0  0.8222  0.02618
 12000.0    0.00    10.0  1.0009  0.03713
 12000.0    0.00    12.0  1.1797  0.05023
 12000.0    0.00    14.0  1.3584  0.06548
 12000.0    0.00    16.0  1.5371  0.08287
 12000.0    0.00    18.0  1.7159  0.10241
 12000.0    0.00    20.0  1.8946  0.12410
 12000.0    0.20    -2.0 -0.0724  0.01918
 12000.0    0.20     0.0  0.1086  0.01944
 12000.0    0.20     2.0  0.2896  0.02231
 12000.0    0.20     4.0  0.4706  0.02778
 12000.0    0.20     6.0  0.6517  0.03587
 12000.0    0.20     8.0  0.8327  0.04656
 12000.0    0.20    10.0  1.0137  0.05986
 12000.0    0.20    12.0  1.1947  0.07577
 12000.0    0.20    14.0  1.3757  0.09428
 12000.0    0.20    16.0  1.5568  0.11541
 12000.0    0.20    18.0  1.7378  0.13914
 12000.0    0.20    20.0  1.9188  0.16548
 12000.0    0.40    -2.0 -0.0754  0.01755
 12000.0    0.40     0.0  0.1131  0.01782
 12000.0    0.40     2.0  0.3016  0.02088
 12000.0    0.40     4.0  0.4901  0.02672
 12000.0    0.40     6.0  0.6786  0.03533
 12000.0    0.40     8.0  0.8670  0.04672
 12000.0    0.40    10.0  1.0555  0.06089
 12000.0    0.40    12.0  1.2440  0.07784
 12000.0    0.40    14.0  1.4325  0.09757
 12000.0    0.40    16.0  1.6210  0.12008
 12000.0    0.40    18.0  1.8095  0.14537
 12000.0    0.40    19.8  1.9820  0.17095
 12000.0    0.50    -2.0 -0.0779  0.01702
 12000.0    0.50     0.0  0.1169  0.01731
 12000.0    0.50     2.0  0.3117  0.02056
 12000.0    0.50     4.0  0.5065  0.02675
 12000.0    0.50     6.0  0.7013  0.03590
 12000.0    0.50     8.0  0.8961  0.04799
 12000.0    0.50    10.0  1.0909  0.06304
 12000.0    0.50    12.0  1.2857  0.08104
 12000.0    0.50    14.0  1.4806  0.10198
 12000.0    0.50    16.0  1.6754  0.12588
 12000.0    0.50    18.0  1.8702  0.15273
 12000.0    0.50    19.1  1.9760  0.16854
 12000.0    0.60    -2.0 -0.0814  0.01657
 12000.0    0.60     0.0  0.1221  0.01689
 12000.0    0.60     2.0  0.3257  0.02042
 12000.0    0.60     4.0  0.5293  0.02715
 12000.0    0.60     6.0  0.7329  0.03708
 12000.0    0.60     8.0  0.9365  0.05022
 12000.0    0.60    10.0  1.1401  0.06656
 12000.0    0.60    12.0  1.3436  0.08611
 12000.0    0.60    14.0  1.5472  0.10886
 12000.0    0.60    16.0  1.7508  0.13482
