#
# Incremental Lift and Drag Coeff. for Ground Effects
# Reference Area = 1370. sqft / Flap Deflection = 10 deg (T.O. Setting)
#     MACH   ALPHA     HOB   DEL_CL   DEL_CD
#      (-)   (deg)     (-)     (-)      (-)
#
     0.20   10.00    2.00  0.00000 -0.00005
     0.20   10.00    3.00  0.00000 -0.00000
     0.20   12.00    0.05  0.23844 -0.04991
     0.20   12.00    0.10  0.19661 -0.03191
     0.20   12.00    0.20  0.13184 -0.01524
     0.20   12.00    0.30  0.08693 -0.00843
     0.20   12.00    0.40  0.05774 -0.00513
     0.20   12.00    0.50  0.03867 -0.00334
     0.20   12.00    0.60  0.02606 -0.00229
     0.20   12.00    0.80  0.01189 -0.00120
     0.20   12.00    1.00  0.00529 -0.00070
     0.20   12.00    1.50  0.00022 -0.00025
     0.20   12.00    2.00  0.00000 -0.00006
     0.20   12.00    3.00  0.00000 -0.00000
     0.20   14.00    0.05  0.23791 -0.06395
     0.20   14.00    0.10  0.20980 -0.04070
     0.20   14.00    0.20  0.14496 -0.01932
     0.20   14.00    0.30  0.09628 -0.01066
     0.20   14.00    0.40  0.06405 -0.00649
     0.20   14.00    0.50  0.04286 -0.00423
     0.20   14.00    0.60  0.02879 -0.00291
     0.20   14.00    0.80  0.01297 -0.00154
     0.20   14.00    1.00  0.00562 -0.00092
     0.20   14.00    1.50  0.00004 -0.00034
     0.20   14.00    2.00  0.00000 -0.00008
     0.20   14.00    3.00  0.00000 -0.00000
     0.20   16.00    0.05  0.22773 -0.08024
     0.20   16.00    0.10  0.21861 -0.05091
     0.20   16.00    0.20  0.15628 -0.02409
     0.20   16.00    0.30  0.10463 -0.01327
     0.20   16.00    0.40  0.06973 -0.00808
     0.20   16.00    0.50  0.04660 -0.00529
     0.20   16.00    0.60  0.03120 -0.00365
     0.20   16.00    0.80  0.01385 -0.00196
     0.20   16.00    1.00  0.00582 -0.00118
     0.20   16.00    1.50  0.00000 -0.00042
     0.20   16.00    2.00  0.00000 -0.00010
     0.20   16.00    3.00  0.00000 -0.00000
     0.20   18.00    0.05  0.12700 -0.10390
     0.20   18.00    0.10  0.12700 -0.07147
     0.20   18.00    0.20  0.12700 -0.03443
     0.20   18.00    0.30  0.11197 -0.01630
     0.20   18.00    0.40  0.07477 -0.00994
     0.20   18.00    0.50  0.04990 -0.00652
     0.20   18.00    0.60  0.03329 -0.00452
     0.20   18.00    0.80  0.01455 -0.00245
     0.20   18.00    1.00  0.00589 -0.00149
     0.20   18.00    1.50  0.00000 -0.00051
     0.20   18.00    2.00  0.00000 -0.00011
     0.20   18.00    3.00  0.00000 -0.00000
     0.30   -2.00    0.05 -0.02873 -0.00180
     0.30   -2.00    0.10 -0.01849 -0.00137
     0.30   -2.00    0.20 -0.01077 -0.00086
     0.30   -2.00    0.30 -0.00684 -0.00056
     0.30   -2.00    0.40 -0.00450 -0.00038
     0.30   -2.00    0.50 -0.00303 -0.00026
     0.30   -2.00    0.60 -0.00208 -0.00018
     0.30   -2.00    0.80 -0.00101 -0.00009
     0.30   -2.00    1.00 -0.00051 -0.00005
     0.30   -2.00    1.50 -0.00010 -0.00001
     0.30   -2.00    2.00 -0.00002 -0.00000
     0.30   -2.00    3.00  0.00000 -0.00000
     0.30    0.00    0.05  0.04010 -0.00442
     0.30    0.00    0.10  0.02638 -0.00316
     0.30    0.00    0.20  0.01560 -0.00180
     0.30    0.00    0.30  0.00994 -0.00111
     0.30    0.00    0.40  0.00655 -0.00072
     0.30    0.00    0.50  0.00441 -0.00048
     0.30    0.00    0.60  0.00302 -0.00033
     0.30    0.00    0.80  0.00146 -0.00016
     0.30    0.00    1.00  0.00072 -0.00008
     0.30    0.00    1.50  0.00013 -0.00002
     0.30    0.00    2.00  0.00001 -0.00001
     0.30    0.00    3.00  0.00000 -0.00000
     0.30    2.00    0.05  0.09895 -0.00820
     0.30    2.00    0.10  0.06672 -0.00563
     0.30    2.00    0.20  0.04009 -0.00301
     0.30    2.00    0.30  0.02568 -0.00179
     0.30    2.00    0.40  0.01694 -0.00113
     0.30    2.00    0.50  0.01140 -0.00075
     0.30    2.00    0.60  0.00778 -0.00051
     0.30    2.00    0.80  0.00373 -0.00025
     0.30    2.00    1.00  0.00183 -0.00013
     0.30    2.00    1.50  0.00029 -0.00003
     0.30    2.00    2.00  0.00001 -0.00001
     0.30    2.00    3.00  0.00000 -0.00000
     0.30    4.00    0.05  0.14781 -0.01332
     0.30    4.00    0.10  0.10254 -0.00891
     0.30    4.00    0.20  0.06273 -0.00456
     0.30    4.00    0.30  0.04038 -0.00264
     0.30    4.00    0.40  0.02667 -0.00164
     0.30    4.00    0.50  0.01793 -0.00108
     0.30    4.00    0.60  0.01221 -0.00073
     0.30    4.00    0.80  0.00580 -0.00036
     0.30    4.00    1.00  0.00280 -0.00020
     0.30    4.00    1.50  0.00039 -0.00005
     0.30    4.00    2.00  0.00000 -0.00002
     0.30    4.00    3.00  0.00000 -0.00000
     0.30    6.00    0.05  0.18669 -0.01995
     0.30    6.00    0.10  0.13383 -0.01310
     0.30    6.00    0.20  0.08349 -0.00651
     0.30    6.00    0.30  0.05403 -0.00370
     0.30    6.00    0.40  0.03573 -0.00228
     0.30    6.00    0.50  0.02400 -0.00148
     0.30    6.00    0.60  0.01630 -0.00101
     0.30    6.00    0.80  0.00768 -0.00051
     0.30    6.00    1.00  0.00364 -0.00028
     0.30    6.00    1.50  0.00044 -0.00008
     0.30    6.00    2.00  0.00000 -0.00003
     0.30    6.00    3.00  0.00000 -0.00000
     0.30    8.00    0.05  0.21559 -0.02826
     0.30    8.00    0.10  0.16061 -0.01832
     0.30    8.00    0.20  0.10239 -0.00893
     0.30    8.00    0.30  0.06665 -0.00500
     0.30    8.00    0.40  0.04413 -0.00306
     0.30    8.00    0.50  0.02962 -0.00199
     0.30    8.00    0.60  0.02007 -0.00135
     0.30    8.00    0.80  0.00936 -0.00069
     0.30    8.00    1.00  0.00435 -0.00039
     0.30    8.00    1.50  0.00043 -0.00013
     0.30    8.00    2.00  0.00000 -0.00004
     0.30    8.00    3.00  0.00000 -0.00000
     0.30   10.00    0.05  0.23450 -0.03841
     0.30   10.00    0.10  0.18286 -0.02469
     0.30   10.00    0.20  0.11942 -0.01186
     0.30   10.00    0.30  0.07822 -0.00658
     0.30   10.00    0.40  0.05187 -0.00401
     0.30   10.00    0.50  0.03478 -0.00261
     0.30   10.00    0.60  0.02350 -0.00178
     0.30   10.00    0.80  0.01084 -0.00092
     0.30   10.00    1.00  0.00494 -0.00053
     0.30   10.00    1.50  0.00035 -0.00018
     0.30   10.00    2.00  0.00000 -0.00005
     0.30   10.00    3.00  0.00000 -0.00000
     0.30   12.00    0.05  0.24343 -0.05058
     0.30   12.00    0.10  0.20059 -0.03230
     0.30   12.00    0.20  0.13459 -0.01537
     0.30   12.00    0.30  0.08876 -0.00849
     0.30   12.00    0.40  0.05895 -0.00516
     0.30   12.00    0.50  0.03948 -0.00336
     0.30   12.00    0.60  0.02660 -0.00230
     0.30   12.00    0.80  0.01213 -0.00121
     0.30   12.00    1.00  0.00539 -0.00071
     0.30   12.00    1.50  0.00022 -0.00026
     0.30   12.00    2.00  0.00000 -0.00006
     0.30   12.00    3.00  0.00000 -0.00000
     0.30   14.00    0.05  0.24237 -0.06491
     0.30   14.00    0.10  0.21380 -0.04126
     0.30   14.00    0.20  0.14788 -0.01953
     0.30   14.00    0.30  0.09825 -0.01075
     0.30   14.00    0.40  0.06537 -0.00653
     0.30   14.00    0.50  0.04373 -0.00426
     0.30   14.00    0.60  0.02937 -0.00293
     0.30   14.00    0.80  0.01322 -0.00156
     0.30   14.00    1.00  0.00571 -0.00093
     0.30   14.00    1.50  0.00002 -0.00035
     0.30   14.00    2.00  0.00000 -0.00008
     0.30   14.00    3.00  0.00000 -0.00000
     0.30   16.00    0.05  0.23133 -0.08156
     0.30   16.00    0.10  0.22249 -0.05169
     0.30   16.00    0.20  0.15932 -0.02439
     0.30   16.00    0.30  0.10671 -0.01341
     0.30   16.00    0.40  0.07112 -0.00815
     0.30   16.00    0.50  0.04752 -0.00533
     0.30   16.00    0.60  0.03181 -0.00368
     0.30   16.00    0.80  0.01411 -0.00198
     0.30   16.00    1.00  0.00591 -0.00119
     0.30   16.00    1.50  0.00000 -0.00043
     0.30   16.00    2.00  0.00000 -0.00010
     0.30   16.00    3.00  0.00000 -0.00000
     0.30   18.00    0.05  0.09556 -0.10771
     0.30   18.00    0.10  0.09556 -0.07569
     0.30   18.00    0.20  0.09556 -0.03911
     0.30   18.00    0.30  0.09556 -0.01911
     0.30   18.00    0.40  0.07621 -0.01005
     0.30   18.00    0.50  0.05086 -0.00659
     0.30   18.00    0.60  0.03391 -0.00457
     0.30   18.00    0.80  0.01480 -0.00248
     0.30   18.00    1.00  0.00597 -0.00151
     0.30   18.00    1.50  0.00000 -0.00052
     0.30   18.00    2.00  0.00000 -0.00012
     0.30   18.00    3.00  0.00000 -0.00000
     0.40   -2.00    0.05 -0.02989 -0.00175
     0.40   -2.00    0.10 -0.01917 -0.00134
     0.40   -2.00    0.20 -0.01115 -0.00084
     0.40   -2.00    0.30 -0.00707 -0.00055
     0.40   -2.00    0.40 -0.00466 -0.00037
     0.40   -2.00    0.50 -0.00314 -0.00025
     0.40   -2.00    0.60 -0.00215 -0.00018
     0.40   -2.00    0.80 -0.00105 -0.00009
