#
#  Clean / Free Air Aerodynamics
#  Copy of GASP_aero_free.txt with alpha above 10 removed
#  Reference Area = 1370. sqft
#  Altitude  Mach   ALPHA   CLTOT     CD
#    (ft)     (-)   (deg)    (-)     (-)
#
 12000.0    0.00    10.0  1.0009  0.03713
 12000.0    0.20    -2.0 -0.0724  0.01918
 12000.0    0.20     0.0  0.1086  0.01944
 12000.0    0.20     2.0  0.2896  0.02231
 12000.0    0.20     4.0  0.4706  0.02778
 12000.0    0.20     6.0  0.6517  0.03587
 12000.0    0.20     8.0  0.8327  0.04656
 12000.0    0.20    10.0  1.0137  0.05986
 12000.0    0.40    -2.0 -0.0754  0.01755
 12000.0    0.40     0.0  0.1131  0.01782
 12000.0    0.40     2.0  0.3016  0.02088
 12000.0    0.40     4.0  0.4901  0.02672
 12000.0    0.40     6.0  0.6786  0.03533
 12000.0    0.40     8.0  0.8670  0.04672
 12000.0    0.40    10.0  1.0555  0.06089
 12000.0    0.50    -2.0 -0.0779  0.01702
 12000.0    0.50     0.0  0.1169  0.01731
 12000.0    0.50     2.0  0.3117  0.02056
 12000.0    0.50     4.0  0.5065  0.02675
 12000.0    0.50     6.0  0.7013  0.03590
 12000.0    0.50     8.0  0.8961  0.04799
 12000.0    0.50    10.0  1.0909  0.06304
 12000.0    0.60    -2.0 -0.0814  0.01657
 12000.0    0.60     0.0  0.1221  0.01689
 12000.0    0.60     2.0  0.3257  0.02042
 12000.0    0.60     4.0  0.5293  0.02715
 12000.0    0.60     6.0  0.7329  0.03708
 12000.0    0.60     8.0  0.9365  0.05022
 12000.0    0.60    10.0  1.1401  0.06656
 12000.0    0.70    -2.0 -0.0863  0.01619
 12000.0    0.70     0.0  0.1295  0.01654
 12000.0    0.70     2.0  0.3454  0.02049
 12000.0    0.70     4.0  0.5613  0.02802
 12000.0    0.70     6.0  0.7771  0.03913
 12000.0    0.70     8.0  0.9930  0.05383
 12000.0    0.70    10.0  1.2089  0.07226
 12000.0    0.75    -2.0 -0.0896  0.01601
 12000.0    0.75     0.0  0.1343  0.01640
 12000.0    0.75     2.0  0.3582  0.02063
 12000.0    0.75     4.0  0.5822  0.02871
 12000.0    0.75     6.0  0.8061  0.04077
 12000.0    0.75     8.0  1.0300  0.05783
 12000.0    0.75    10.0  1.2539  0.08122
 12000.0    0.80    -2.0 -0.0935  0.01585
 12000.0    0.80     0.0  0.1402  0.01627
 12000.0    0.80     2.0  0.3740  0.02094
 12000.0    0.80     4.0  0.6077  0.03083
 12000.0    0.80     6.0  0.8414  0.04744
 12000.0    0.80     8.0  1.0751  0.07231
 12000.0    0.80    10.0  1.3089  0.10697
 12000.0    0.85    -2.0 -0.0984  0.01571
 12000.0    0.85     0.0  0.1476  0.01685
 12000.0    0.85     2.0  0.3936  0.02498
 12000.0    0.85     4.0  0.6396  0.04188
 12000.0    0.85     6.0  0.8855  0.06933
 12000.0    0.85     8.0  1.1315  0.10911
 12000.0    0.85    10.0  1.3775  0.16302
 12000.0    0.90    -2.0 -0.1047  0.01765
 12000.0    0.90     0.0  0.1571  0.02393
 12000.0    0.90     2.0  0.4188  0.04145
 12000.0    0.90     4.0  0.6806  0.07236
 12000.0    0.90     6.0  0.9424  0.11881
 12000.0    0.90     8.0  1.2041  0.18295
 12000.0    0.90    10.0  1.4659  0.26693
 15000.0    0.00    -2.0 -0.0715  0.00363
 15000.0    0.00     0.0  0.1072  0.00384
 15000.0    0.00     2.0  0.2860  0.00621
 15000.0    0.00     4.0  0.4647  0.01072
 15000.0    0.00     6.0  0.6434  0.01737
 15000.0    0.00     8.0  0.8222  0.02618
 15000.0    0.00    10.0  1.0009  0.03713
 15000.0    0.20    -2.0 -0.0724  0.01939
 15000.0    0.20     0.0  0.1086  0.01965
 15000.0    0.20     2.0  0.2896  0.02252
 15000.0    0.20     4.0  0.4706  0.02801
 15000.0    0.20     6.0  0.6517  0.03611
 15000.0    0.20     8.0  0.8327  0.04683
 15000.0    0.20    10.0  1.0137  0.06016
 15000.0    0.40    -2.0 -0.0754  0.01773
 15000.0    0.40     0.0  0.1131  0.01800
 15000.0    0.40     2.0  0.3016  0.02107
 15000.0    0.40     4.0  0.4901  0.02691
 15000.0    0.40     6.0  0.6786  0.03554
 15000.0    0.40     8.0  0.8670  0.04696
 15000.0    0.40    10.0  1.0555  0.06115
 15000.0    0.50    -2.0 -0.0779  0.01719
 15000.0    0.50     0.0  0.1169  0.01748
 15000.0    0.50     2.0  0.3117  0.02073
 15000.0    0.50     4.0  0.5065  0.02694
 15000.0    0.50     6.0  0.7013  0.03610
 15000.0    0.50     8.0  0.8961  0.04822
 15000.0    0.50    10.0  1.0909  0.06329
 15000.0    0.60    -2.0 -0.0814  0.01674
 15000.0    0.60     0.0  0.1221  0.01706
 15000.0    0.60     2.0  0.3257  0.02059
 15000.0    0.60     4.0  0.5293  0.02733
 15000.0    0.60     6.0  0.7329  0.03728
 15000.0    0.60     8.0  0.9365  0.05044
 15000.0    0.60    10.0  1.1401  0.06681
 15000.0    0.70    -2.0 -0.0863  0.01634
 15000.0    0.70     0.0  0.1295  0.01670
 15000.0    0.70     2.0  0.3454  0.02065
 15000.0    0.70     4.0  0.5613  0.02819
 15000.0    0.70     6.0  0.7771  0.03932
 15000.0    0.70     8.0  0.9930  0.05405
 15000.0    0.70    10.0  1.2089  0.07251
 15000.0    0.75    -2.0 -0.0896  0.01617
 15000.0    0.75     0.0  0.1343  0.01655
 15000.0    0.75     2.0  0.3582  0.02079
 15000.0    0.75     4.0  0.5822  0.02888
 15000.0    0.75     6.0  0.8061  0.04097
 15000.0    0.75     8.0  1.0300  0.05805
 15000.0    0.75    10.0  1.2539  0.08147
 15000.0    0.80    -2.0 -0.0935  0.01600
 15000.0    0.80     0.0  0.1402  0.01642
 15000.0    0.80     2.0  0.3740  0.02110
 15000.0    0.80     4.0  0.6077  0.03100
 15000.0    0.80     6.0  0.8414  0.04763
 15000.0    0.80     8.0  1.0751  0.07253
 15000.0    0.80    10.0  1.3089  0.10722
 15000.0    0.85    -2.0 -0.0984  0.01586
 15000.0    0.85     0.0  0.1476  0.01700
 15000.0    0.85     2.0  0.3936  0.02514
 15000.0    0.85     4.0  0.6396  0.04205
 15000.0    0.85     6.0  0.8855  0.06952
 15000.0    0.85     8.0  1.1315  0.10934
 15000.0    0.85    10.0  1.3775  0.16328
 15000.0    0.90    -2.0 -0.1047  0.01779
 15000.0    0.90     0.0  0.1571  0.02408
 15000.0    0.90     2.0  0.4188  0.04161
 15000.0    0.90     4.0  0.6806  0.07254
 15000.0    0.90     6.0  0.9424  0.11901
 15000.0    0.90     8.0  1.2041  0.18318
 15000.0    0.90    10.0  1.4659  0.26720
 18000.0    0.00    -2.0 -0.0715  0.00363
 18000.0    0.00     0.0  0.1072  0.00384
 18000.0    0.00     2.0  0.2860  0.00621
 18000.0    0.00     4.0  0.4647  0.01072
 18000.0    0.00     6.0  0.6434  0.01737
 18000.0    0.00     8.0  0.8222  0.02618
 18000.0    0.00    10.0  1.0009  0.03713
 18000.0    0.20    -2.0 -0.0724  0.01961
 18000.0    0.20     0.0  0.1086  0.01987
 18000.0    0.20     2.0  0.2896  0.02275
 18000.0    0.20     4.0  0.4706  0.02825
 18000.0    0.20     6.0  0.6517  0.03637
 18000.0    0.20     8.0  0.8327  0.04711
 18000.0    0.20    10.0  1.0137  0.06046
 18000.0    0.40    -2.0 -0.0754  0.01791
 18000.0    0.40     0.0  0.1131  0.01819
 18000.0    0.40     2.0  0.3016  0.02126
 18000.0    0.40     4.0  0.4901  0.02712
 18000.0    0.40     6.0  0.6786  0.03576
 18000.0    0.40     8.0  0.8670  0.04720
 18000.0    0.40    10.0  1.0555  0.06143
 18000.0    0.50    -2.0 -0.0779  0.01737
 18000.0    0.50     0.0  0.1169  0.01766
 18000.0    0.50     2.0  0.3117  0.02092
 18000.0    0.50     4.0  0.5065  0.02714
 18000.0    0.50     6.0  0.7013  0.03632
 18000.0    0.50     8.0  0.8961  0.04846
 18000.0    0.50    10.0  1.0909  0.06356
 18000.0    0.60    -2.0 -0.0814  0.01691
 18000.0    0.60     0.0  0.1221  0.01723
 18000.0    0.60     2.0  0.3257  0.02077
 18000.0    0.60     4.0  0.5293  0.02752
 18000.0    0.60     6.0  0.7329  0.03749
 18000.0    0.60     8.0  0.9365  0.05067
 18000.0    0.60    10.0  1.1401  0.06707
 18000.0    0.70    -2.0 -0.0863  0.01651
 18000.0    0.70     0.0  0.1295  0.01687
 18000.0    0.70     2.0  0.3454  0.02082
 18000.0    0.70     4.0  0.5613  0.02838
 18000.0    0.70     6.0  0.7771  0.03953
 18000.0    0.70     8.0  0.9930  0.05427
 18000.0    0.70    10.0  1.2089  0.07277
 18000.0    0.75    -2.0 -0.0896  0.01633
 18000.0    0.75     0.0  0.1343  0.01671
 18000.0    0.75     2.0  0.3582  0.02096
 18000.0    0.75     4.0  0.5822  0.02907
 18000.0    0.75     6.0  0.8061  0.04117
 18000.0    0.75     8.0  1.0300  0.05828
 18000.0    0.75    10.0  1.2539  0.08173
 18000.0    0.80    -2.0 -0.0935  0.01616
 18000.0    0.80     0.0  0.1402  0.01658
 18000.0    0.80     2.0  0.3740  0.02127
 18000.0    0.80     4.0  0.6077  0.03118
 18000.0    0.80     6.0  0.8414  0.04783
 18000.0    0.80     8.0  1.0751  0.07276
 18000.0    0.80    10.0  1.3089  0.10748
 18000.0    0.85    -2.0 -0.0984  0.01601
 18000.0    0.85     0.0  0.1476  0.01716
 18000.0    0.85     2.0  0.3936  0.02530
 18000.0    0.85     4.0  0.6396  0.04223
 18000.0    0.85     6.0  0.8855  0.06972
 18000.0    0.85     8.0  1.1315  0.10957
 18000.0    0.85    10.0  1.3775  0.16355
 18000.0    0.90    -2.0 -0.1047  0.01795
 18000.0    0.90     0.0  0.1571  0.02423
 18000.0    0.90     2.0  0.4188  0.04177
 18000.0    0.90     4.0  0.6806  0.07271
 18000.0    0.90     6.0  0.9424  0.11922
 18000.0    0.90     8.0  1.2041  0.18342
 18000.0    0.90    10.0  1.4659  0.26748
 21000.0    0.00    -2.0 -0.0715  0.00363
 21000.0    0.00     0.0  0.1072  0.00384
 21000.0    0.00     2.0  0.2860  0.00621
 21000.0    0.00     4.0  0.4647  0.01072
 21000.0    0.00     6.0  0.6434  0.01737
 21000.0    0.00     8.0  0.8222  0.02618
 21000.0    0.00    10.0  1.0009  0.03713
 21000.0    0.20    -2.0 -0.0724  0.01983
 21000.0    0.20     0.0  0.1086  0.02010
