# created 04/22/25
# FLOPS-derived engine deck converted from turbofan_28_ENGDEK

Mach Number, Altitude (ft),   Throttle, Gross Thrust (lbf), Ram Drag (lbf), Fuel Flow (lb/h), NOx Rate (lb/h)
        0.2,        5000.0,       24.0,             6064.9,         2984.3,           1342.0,          7.4149
        0.2,        5000.0,       26.0,             7773.0,         3372.1,           1755.4,          9.2124
        0.2,        5000.0,       30.0,            11407.0,         4072.2,           2696.9,          13.226
        0.2,        5000.0,       34.0,            14910.5,         4641.7,           3693.1,          16.168
        0.2,        5000.0,       38.0,            18336.7,         5134.0,           4722.6,          18.655
        0.2,        5000.0,       42.0,            21708.3,         5571.5,           5810.0,          20.901
        0.2,        5000.0,       46.0,            25034.4,         5963.4,           6999.7,          46.548
        0.2,        5000.0,       48.0,            26682.2,         6144.6,           7635.7,          60.797
        0.2,        5000.0,       50.0,            28321.1,         6316.5,           8304.7,          71.484
        0.2,       10000.0,       21.0,             2738.0,         1829.0,            626.4,          9.2804
        0.2,       10000.0,       22.0,             3527.6,         2073.3,            775.5,          6.4797
        0.2,       10000.0,       24.0,             5010.5,         2465.5,           1098.5,          6.2413
        0.2,       10000.0,       26.0,             6421.8,         2786.1,           1431.7,          7.9908
        0.2,       10000.0,       30.0,             9424.6,         3365.1,           2191.4,          11.756
        0.2,       10000.0,       34.0,            12319.4,         3836.1,           2994.6,          14.615
        0.2,       10000.0,       38.0,            15150.2,         4243.1,           3825.2,          17.028
        0.2,       10000.0,       42.0,            17936.1,         4604.8,           4701.2,           19.18
        0.2,       10000.0,       46.0,            20683.4,         4929.0,           5659.9,          23.631
        0.2,       10000.0,       48.0,            22045.5,         5078.8,           6173.0,          36.496
        0.2,       10000.0,       50.0,            23399.5,         5221.0,           6712.2,          53.492
       0.25,           0.0,       21.0,             4982.9,         3711.0,            967.7,          5.1347
       0.25,           0.0,       22.0,             6155.9,         4120.9,           1221.5,          6.4157
       0.25,           0.0,       24.0,             8353.0,         4791.8,           1741.2,          8.5818
       0.25,           0.0,       26.0,            10434.6,         5347.2,           2267.6,          10.748
       0.25,           0.0,       30.0,            14837.1,         6358.1,           3458.3,          14.538
       0.25,           0.0,       34.0,            19055.8,         7185.2,           4700.4,          17.453
       0.25,           0.0,       38.0,            23164.2,         7901.7,           5979.8,           19.93
       0.25,           0.0,       42.0,            27194.4,         8540.4,           7318.7,          34.279
       0.25,           0.0,       46.0,            31158.1,         9112.7,           8772.0,          62.953
       0.25,           0.0,       48.0,            33119.2,         9377.6,           9547.4,          72.817
       0.25,           0.0,       50.0,            35064.8,         9627.7,          10368.8,           79.61
       0.25,        2000.0,       21.0,             4635.4,         3453.6,            881.2,          4.9403
       0.25,        2000.0,       22.0,             5725.7,         3834.8,           1113.2,          6.2358
       0.25,        2000.0,       24.0,             7767.9,         4458.7,           1587.7,          8.4148
       0.25,        2000.0,       26.0,             9702.8,         4975.4,           2068.9,          10.313
       0.25,        2000.0,       30.0,            13794.8,         5915.8,           3157.8,          14.369
       0.25,        2000.0,       34.0,            17715.3,         6684.5,           4299.7,          17.308
       0.25,        2000.0,       38.0,            21533.5,         7351.2,           5470.6,          19.785
