# created 04/22/25
# GASP_TS-derived engine deck converted from MAPS_1120hp.eng
# t4max: 50.0
# t4cruise: 46.67
# t4climb: 48.33
# t4flight_idle: 20.0
# xsfc: 0.0
# cexp: 0.0
# sls_horsepower: 1120.0
# freeturbine_rpm: 24539.0
# propeller_rpm: 1210.0
# gearbox_ratio: 0.049308
# torque_limit: 4861.4
# sls_corrected_airflow: 7.9568

Mach Number, Altitude (ft),   Throttle, Shaft Power Corrected (hp), Fuel Flow (lb/h)
       0.55,        1500.0,       28.0,                    257.099,          209.336
        0.6,        1500.0,       28.0,                    246.087,           195.05
        0.0,        1500.0,       30.0,                      382.8,            324.2
       0.05,        1500.0,       30.0,                    382.023,          323.306
        0.1,        1500.0,       30.0,                      379.7,            320.5
       0.15,        1500.0,       30.0,                    375.906,          315.891
        0.2,        1500.0,       30.0,                    370.714,          309.588
       0.25,        1500.0,       30.0,                      364.2,            301.7
        0.3,        1500.0,       30.0,                    356.436,          292.313
       0.35,        1500.0,       30.0,                    347.497,          281.708
        0.4,        1500.0,       30.0,                      337.5,            270.0
       0.45,        1500.0,       30.0,                    326.588,          257.241
        0.5,        1500.0,       30.0,                      314.9,            243.5
       0.55,        1500.0,       30.0,                    302.572,          228.844
        0.6,        1500.0,       30.0,                    289.743,           213.34
        0.0,        1500.0,       32.0,                    440.296,          350.244
       0.05,        1500.0,       32.0,                    439.429,           349.31
        0.1,        1500.0,       32.0,                    436.776,           346.31
       0.15,        1500.0,       32.0,                     432.42,          341.371
        0.2,        1500.0,       32.0,                    426.444,          334.622
       0.25,        1500.0,       32.0,                    418.933,          326.187
        0.3,        1500.0,       32.0,                    409.962,          316.183
       0.35,        1500.0,       32.0,                    399.654,           304.83
        0.4,        1500.0,       32.0,                    388.146,          292.281
       0.45,        1500.0,       32.0,                    375.601,          278.673
        0.5,        1500.0,       32.0,                    362.176,          264.144
       0.55,        1500.0,       32.0,                    348.026,          248.834
        0.6,        1500.0,       32.0,                    333.308,          232.884
        0.0,        1500.0,       34.0,                    497.685,          376.172
       0.05,        1500.0,       34.0,                    496.712,          375.175
        0.1,        1500.0,       34.0,                    493.718,          371.971
       0.15,        1500.0,       34.0,                    488.796,          366.701
        0.2,        1500.0,       34.0,                    482.037,          359.508
       0.25,        1500.0,       34.0,                    473.532,           350.53
        0.3,        1500.0,       34.0,                    463.358,          339.907
       0.35,        1500.0,       34.0,                      451.7,          327.788
        0.4,        1500.0,       34.0,                    438.711,          314.373
       0.45,        1500.0,       34.0,                    424.556,          299.908
        0.5,        1500.0,       34.0,                    409.399,          284.626
       0.55,        1500.0,       34.0,                    393.401,          268.761
        0.6,        1500.0,       34.0,                    376.725,          252.546
        0.0,        1500.0,       36.0,                    554.972,           401.98
       0.05,        1500.0,       36.0,                    553.871,          400.888
        0.1,        1500.0,       36.0,                     550.52,          397.475
       0.15,        1500.0,       36.0,                    545.021,          391.889
        0.2,        1500.0,       36.0,                    537.479,          384.273
       0.25,        1500.0,       36.0,                    527.996,          374.772
        0.3,        1500.0,       36.0,                    516.659,          363.533
       0.35,        1500.0,       36.0,                    503.684,          350.661
        0.4,        1500.0,       36.0,                    489.234,          336.392
       0.45,        1500.0,       36.0,                    473.476,          321.045
        0.5,        1500.0,       36.0,                    456.575,          304.919
       0.55,        1500.0,       36.0,                    438.697,           288.31
        0.6,        1500.0,       36.0,                    420.008,          271.519
        0.0,        1500.0,       38.0,                    612.504,          427.669
       0.05,        1500.0,       38.0,                     611.34,          426.483
        0.1,        1500.0,       38.0,                    607.673,          422.908
       0.15,        1500.0,       38.0,                    601.624,          417.069
        0.2,        1500.0,       38.0,                    593.309,           409.09
       0.25,        1500.0,       38.0,                     582.85,          399.095
        0.3,        1500.0,       38.0,                     570.35,           387.19
       0.35,        1500.0,       38.0,                    556.012,          373.633
        0.4,        1500.0,       38.0,                    540.021,          358.631
       0.45,        1500.0,       38.0,                    522.582,            342.4
        0.5,        1500.0,       38.0,                    503.893,          325.156
       0.55,        1500.0,       38.0,                    484.154,           307.11
        0.6,        1500.0,       38.0,                    463.564,          288.478
        0.0,        1500.0,       40.0,                      669.9,            453.3
       0.05,        1500.0,       40.0,                    668.543,          452.059
        0.1,        1500.0,       40.0,                      664.5,            448.3
