# created 04/22/25
# GASP_TS-derived engine deck converted from MAPS_1120hp.eng
# t4max: 50.0
# t4cruise: 46.67
# t4climb: 48.33
# t4flight_idle: 20.0
# xsfc: 0.0
# cexp: 0.0
# sls_horsepower: 1120.0
# freeturbine_rpm: 24539.0
# propeller_rpm: 1210.0
# gearbox_ratio: 0.049308
# torque_limit: 4861.4
# sls_corrected_airflow: 7.9568

Mach Number, Altitude (ft),   Throttle, Shaft Power Corrected (hp), Tailpipe Thrust (lbf), Fuel Flow (lb/h)
        0.3,           0.0,       38.0,                     667.54,               12.4956,          424.996
       0.35,           0.0,       38.0,                    650.734,             -0.846162,          410.408
        0.4,           0.0,       38.0,                    632.007,              -13.7495,          394.307
       0.45,           0.0,       38.0,                    611.603,              -26.1106,           376.91
        0.5,           0.0,       38.0,                    589.762,              -37.8256,          358.431
       0.55,           0.0,       38.0,                    566.729,              -48.7907,          339.084
        0.6,           0.0,       38.0,                    542.744,              -58.9019,          319.085
        0.0,           0.0,       40.0,                      784.0,                 102.6,            497.7
       0.05,           0.0,       40.0,                      782.5,               88.3938,          496.344
        0.1,           0.0,       40.0,                      777.8,                  74.0,            492.3
       0.15,           0.0,       40.0,                     770.05,               59.5313,          485.681
        0.2,           0.0,       40.0,                      759.4,                  45.1,            476.6
       0.25,           0.0,       40.0,                    745.975,               30.8375,          465.094
        0.3,           0.0,       40.0,                      730.0,                  16.8,            451.5
       0.35,           0.0,       40.0,                     711.65,                3.0375,            436.1
        0.4,           0.0,       40.0,                      691.2,                 -10.3,            419.1
       0.45,           0.0,       40.0,                      668.9,              -23.0875,          400.725
        0.5,           0.0,       40.0,                      645.0,                 -35.2,            381.2
       0.55,           0.0,       40.0,                     619.75,              -46.5125,           360.75
        0.6,           0.0,       40.0,                      593.4,                 -56.9,            339.6
        0.0,           0.0,       42.0,                    851.127,               109.088,          526.592
       0.05,           0.0,       42.0,                    849.439,               94.6039,          525.133
        0.1,           0.0,       42.0,                    844.346,               79.8705,          520.851
       0.15,           0.0,       42.0,                     835.98,               65.0158,          513.868
        0.2,           0.0,       42.0,                    824.471,                50.168,          504.308
       0.25,           0.0,       42.0,                    809.905,               35.4682,          492.233
        0.3,           0.0,       42.0,                    792.554,               21.0043,          477.955
       0.35,           0.0,       42.0,                    772.614,               6.88126,          461.722
        0.4,           0.0,       42.0,                    750.397,              -6.81179,           443.79
       0.45,           0.0,       42.0,                    726.186,              -19.9818,          424.413
        0.5,           0.0,       42.0,                    700.263,              -32.5357,          403.846
       0.55,           0.0,       42.0,                    672.911,              -44.3805,          382.341
        0.6,           0.0,       42.0,                    644.412,              -55.4231,          360.154
        0.0,           0.0,       44.0,                    918.489,               115.698,          555.522
       0.05,           0.0,       44.0,                    916.688,               100.858,          553.979
        0.1,           0.0,       44.0,                    911.189,               85.7959,          549.503
       0.15,           0.0,       44.0,                    902.143,               70.6157,          542.197
        0.2,           0.0,       44.0,                    889.705,               55.4221,          532.166
       0.25,           0.0,       44.0,                    873.986,               40.3058,          519.407
        0.3,           0.0,       44.0,                    855.262,               25.4131,          504.345
       0.35,           0.0,       44.0,                    833.723,               10.8968,          487.345
        0.4,           0.0,       44.0,                    809.732,              -3.17275,          468.584
       0.45,           0.0,       44.0,                    783.609,              -16.7047,          448.286
        0.5,           0.0,       44.0,                    755.674,              -29.6081,          426.674
       0.55,           0.0,       44.0,                    726.246,              -41.7921,          403.974
        0.6,           0.0,       44.0,                    695.646,              -53.1657,          380.408
        0.0,           0.0,       46.0,                    985.511,                 122.4,          584.447
       0.05,           0.0,       46.0,                    983.565,               107.263,          582.834
        0.1,           0.0,       46.0,                    977.666,               91.8398,          578.128
       0.15,           0.0,       46.0,                    967.972,               76.2635,          570.457
        0.2,           0.0,       46.0,                     954.64,               60.6687,          559.954
       0.25,           0.0,       46.0,                    937.774,               45.1982,          546.661
        0.3,           0.0,       46.0,                    917.683,                29.961,          530.968
       0.35,           0.0,       46.0,                    894.593,               15.0907,          513.202
        0.4,           0.0,       46.0,                    868.862,              0.657101,          493.591
       0.45,           0.0,       46.0,                    840.816,              -13.2538,          472.388
        0.5,           0.0,       46.0,                    810.781,              -26.5562,          449.846
       0.55,           0.0,       46.0,                    779.083,              -39.1642,          426.217
        0.6,           0.0,       46.0,                    746.048,               -50.992,          401.755
        0.0,           0.0,       48.0,                    1052.87,               129.258,          614.241
       0.05,           0.0,       48.0,                    1050.87,               113.782,          612.542
        0.1,           0.0,       48.0,                    1044.56,               98.0541,          607.595
       0.15,           0.0,       48.0,                    1034.14,               82.1772,          599.542
        0.2,           0.0,       48.0,                    1019.83,               66.2551,          588.526
       0.25,           0.0,       48.0,                    1001.79,               50.3581,          574.597
        0.3,           0.0,       48.0,                    980.343,               34.6894,          558.175
       0.35,           0.0,       48.0,                    955.726,               19.4842,          539.631
        0.4,           0.0,       48.0,                    928.289,               4.71653,          519.161
       0.45,           0.0,       48.0,                    898.354,              -9.57436,          497.005
        0.5,           0.0,       48.0,                    866.245,              -23.3491,          473.402
       0.55,           0.0,       48.0,                    832.283,              -36.5684,          448.593
        0.6,           0.0,       48.0,                    796.791,               -49.193,          422.816
        0.0,           0.0,       50.0,                     1120.0,                 136.3,            644.0
       0.05,           0.0,       50.0,                    1117.81,               120.544,          642.281
        0.1,           0.0,       50.0,                     1111.1,                 104.5,            637.2
       0.15,           0.0,       50.0,                    1100.07,               88.2813,          628.869
        0.2,           0.0,       50.0,                     1084.9,                  72.0,            617.4
       0.25,           0.0,       50.0,                    1065.73,               55.7438,          602.762
        0.3,           0.0,       50.0,                     1042.9,                  39.7,            585.5
       0.35,           0.0,       50.0,                    1016.65,               24.0812,          566.094
        0.4,           0.0,       50.0,                      987.4,                   8.9,            544.7
       0.45,           0.0,       50.0,                    955.525,              -5.78125,          521.556
        0.5,           0.0,       50.0,                      921.4,                 -19.9,            496.9
       0.55,           0.0,       50.0,                      885.4,              -33.3938,          470.969
        0.6,           0.0,       50.0,                      847.9,                 -46.2,            444.0
        0.0,        1500.0,       20.0,                       95.7,                  35.6,            187.4
       0.05,        1500.0,       20.0,                    95.4674,               26.1135,          186.781
        0.1,        1500.0,       20.0,                       94.9,                  16.6,            184.9
